[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=5-axis Cradle safety limit, Owner=User, Creation date=2021/03/24 15:36:14"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-x-y-z stage 240 mm; Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\User\Documents\User\Shimomura lab\program_shimomura lab\TiO2-LAO 2t-w 20-90 Ge220 dcore.xrdmp, Identifier={4F83D392-D46F-473C-9A04-935A26DDC74A}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0130 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Divergence slit,Fixed,0.76mm
Monochromator used,YES
Generator voltage, 45
Tube current, 40
File date and time,25/7/2022 10:29
Unit cell,
h k l, 0 0 0
Scan axis,2Theta-Omega
Scan range,20.00000,90.00000
Scan step size,0.0200000
Omega offset,0.0000
No. of points, 3500
Scan type,CONTINUOUS
Phi,0.00
Psi,0.00
X,0.00
Y,0.00
Z,9.338
Time per step,0.176
[Scan points]
Angle, TimePerStep, Intensity, ESD
27.49000, 0.176, 2.0, 1.4142
27.51000, 0.176, 3.0, 1.7321
27.53000, 0.176, 3.0, 1.7321
27.55000, 0.176, 2.0, 1.4142
27.57000, 0.176, 4.0, 2.0000
27.59000, 0.176, 1.0, 1.0000
27.61000, 0.176, 5.0, 2.2361
27.63000, 0.176, 4.0, 2.0000
27.65000, 0.176, 6.0, 2.4495
27.67000, 0.176, 2.0, 1.4142
27.69000, 0.176, 1.0, 1.0000
27.71000, 0.176, 2.0, 1.4142
27.73000, 0.176, 5.0, 2.2361
27.75000, 0.176, 3.0, 1.7321
27.77000, 0.176, 3.0, 1.7321
27.79000, 0.176, 4.0, 2.0000
27.81000, 0.176, 4.0, 2.0000
27.83000, 0.176, 2.0, 1.4142
27.85000, 0.176, 1.0, 1.0000
27.87000, 0.176, 4.0, 2.0000
27.89000, 0.176, 3.0, 1.7321
27.91000, 0.176, 4.0, 2.0000
27.93000, 0.176, 3.0, 1.7321
27.95000, 0.176, 4.0, 2.0000
27.97000, 0.176, 2.0, 1.4142
27.99000, 0.176, 1.0, 1.0000
28.01000, 0.176, 4.0, 2.0000
28.03000, 0.176, 2.0, 1.4142
28.05000, 0.176, 2.0, 1.4142
28.07000, 0.176, 1.0, 1.0000
28.09000, 0.176, 3.0, 1.7321
28.11000, 0.176, 3.0, 1.7321
28.13000, 0.176, 4.0, 2.0000
28.15000, 0.176, 1.0, 1.0000
28.17000, 0.176, 1.0, 1.0000
28.19000, 0.176, 4.0, 2.0000
28.21000, 0.176, 4.0, 2.0000
28.23000, 0.176, 3.0, 1.7321
28.25000, 0.176, 3.0, 1.7321
28.27000, 0.176, 1.0, 1.0000
28.29000, 0.176, 5.0, 2.2361
28.31000, 0.176, 4.0, 2.0000
28.33000, 0.176, 9.0, 3.0000
28.35000, 0.176, 5.0, 2.2361
28.37000, 0.176, 4.0, 2.0000
28.39000, 0.176, 3.0, 1.7321
28.41000, 0.176, 1.0, 1.0000
28.43000, 0.176, 4.0, 2.0000
28.45000, 0.176, 3.0, 1.7321
28.47000, 0.176, 1.0, 1.0000
28.49000, 0.176, 4.0, 2.0000
28.51000, 0.176, 3.0, 1.7321
28.53000, 0.176, 2.0, 1.4142
28.55000, 0.176, 4.0, 2.0000
28.57000, 0.176, 4.0, 2.0000
28.59000, 0.176, 2.0, 1.4142
28.61000, 0.176, 5.0, 2.2361
28.63000, 0.176, 0.0, 0.0000
28.65000, 0.176, 3.0, 1.7321
28.67000, 0.176, 2.0, 1.4142
28.69000, 0.176, 4.0, 2.0000
28.71000, 0.176, 5.0, 2.2361
28.73000, 0.176, 1.0, 1.0000
28.75000, 0.176, 4.0, 2.0000
28.77000, 0.176, 4.0, 2.0000
28.79000, 0.176, 4.0, 2.0000
28.81000, 0.176, 7.0, 2.6458
28.83000, 0.176, 3.0, 1.7321
28.85000, 0.176, 3.0, 1.7321
28.87000, 0.176, 5.0, 2.2361
28.89000, 0.176, 5.0, 2.2361
28.91000, 0.176, 2.0, 1.4142
28.93000, 0.176, 3.0, 1.7321
28.95000, 0.176, 5.0, 2.2361
28.97000, 0.176, 2.0, 1.4142
